Match,Red1,Red2,Blue1,Blue2,Red Flag Balls,Neutral Flag Balls,Blue Flag Balls,Red Flag Location,Neutral Flag Location,Blue Flag Location,Red Home,Blue Home,,,,
1,17,19,21,12,11,8,0,3,1,0,1,0,0,0,0,0
2,3,1,11,7,0,0,0,1,0,0,0,0,0,0,0,0
3,9,5,2,15,0,1,1,0,1,0,0,0,0,0,0,0
4,13,6,4,23,0,0,5,0,0,-1,1,1,0,0,0,0
5,24,14,18,22,0,2,15,0,1,-1,0,1,0,0,0,0
6,16,20,8,10,0,5,20,1,-3,-1,0,0,0,0,0,0
7,17,23,11,9,20,0,0,1,-1,1,0,1,0,0,0,0
8,14,6,5,3,3,8,11,3,1,-1,0,0,0,0,0,0
9,21,13,24,16,9,12,0,3,-1,-1,1,0,0,0,0,0
10,15,8,1,18,2,7,2,3,1,0,0,0,0,0,0,1
11,20,7,12,2,0,0,0,0,-1,0,1,0,0,0,0,0
12,22,19,10,4,0,0,0,1,1,1,0,0,0,0,0,0
13,11,21,5,18,0,0,22,1,1,-3,0,2,0,0,0,0
14,17,14,13,7,10,0,5,1,0,0,0,1,0,0,0,0
15,9,1,10,19,19,0,0,1,1,-3,0,1,0,0,0,0
16,24,22,6,8,23,0,10,1,1,1,1,0,0,0,0,0
17,15,4,20,12,0,0,0,1,0,-1,0,1,0,0,0,0
18,16,2,23,3,0,3,20,0,0,-1,1,0,0,0,0,0
19,7,18,9,19,36,0,20,3,-3,-1,2,1,0,0,0,0
20,14,21,1,20,4,1,0,1,1,-1,1,1,0,0,0,0
21,3,12,22,23,0,0,30,-3,3,-3,1,2,0,0,0,0
22,10,5,13,8,0,0,0,3,3,0,0,0,0,0,0,0
23,4,11,24,2,6,2,1,0,-3,-1,0,0,0,0,0,0
24,17,16,6,15,44,13,0,1,0,-1,1,0,0,0,0,0
25,19,18,23,20,0,9,2,0,3,-3,1,2,0,0,0,1
26,24,8,12,7,0,0,11,1,1,-1,0,1,0,0,0,0
27,22,13,21,9,32,2,0,1,-1,1,2,0,0,0,0,0
28,4,5,3,17,0,0,10,0,0,-1,0,1,0,0,0,0
29,1,2,16,6,0,8,0,1,1,-1,2,1,0,0,0,1
30,11,15,14,10,0,7,7,0,1,-1,1,0,0,0,1,0
31,20,24,17,9,0,0,22,0,1,-1,0,0,0,0,0,0
32,7,1,22,5,11,0,43,0,-1,-1,0,1,0,0,0,0
33,11,10,12,6,19,7,12,1,1,-1,1,1,0,0,0,0
34,4,16,18,14,13,4,24,1,-1,-3,0,2,0,0,0,0
35,13,3,15,19,0,1,0,1,1,-1,0,0,0,0,0,0
36,23,2,8,21,11,0,0,1,1,0,1,0,0,0,0,0
37,4,7,16,11,9,34,3,1,-3,-3,1,2,0,0,0,0
38,6,5,20,9,15,0,0,1,-1,-1,1,1,0,0,0,0
39,19,2,22,14,12,24,3,-1,-1,-1,1,0,0,0,1,1
40,18,12,1,13,34,1,0,3,-1,-1,2,1,0,0,0,0
41,10,3,24,21,0,0,0,1,1,-1,0,0,0,0,0,0
42,23,8,15,17,0,13,7,-1,1,-3,2,1,0,0,1,0
43,22,20,11,13,10,0,0,1,-3,1,2,1,0,1,0,0
44,9,12,14,16,15,21,0,3,-3,0,1,2,0,0,0,0
45,18,10,17,2,22,0,6,3,-1,-1,1,0,0,0,0,0
46,19,23,5,24,13,10,10,3,1,-1,1,1,0,0,0,0
47,8,1,4,3,0,0,0,1,1,-1,1,0,0,0,0,0
48,21,15,7,6,0,2,21,1,3,-3,2,2,0,0,0,0
Semifinals,,,,,,,,,,,,,,,,
1,1,1,4,4,30,2,0,3,-1,0,2,1,0,0,0,0
2,2,2,3,3,7,3,26,1,0,-3,1,1,0,0,0,0
3,1,1,4,4,36,0,0,3,-1,0,2,1,0,0,0,1
4,2,2,3,3,0,19,0,-1,1,-1,0,0,0,0,0,0
5,2,2,3,3,0,8,36,-1,-1,-3,0,1,0,0,1,0
6,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Finals
1,1, 1, 3, 3,0, 0, 30, -1, -1, -3, 0, 1, 0, 0, 0, 1
2,1, 1, 3, 3,43, 22, 5, 3, -3, -1, 1, 2, 0, 0, 0, 0
3,1, 1, 3, 3,16, 20, 0, 1, -1, -1, 1, 1, 0, 0, 0, 1
